Provincia,Denominacion,Localidad,Direccion,Horario_Atencion,Telefono
Mendoza,Junta Evaluadora San Rafael (Nro. de junta 208), San Rafael (Nro. de junta 208),Córdoba 156,Lunes a Viernes de 08 a 12,tel: 260 / 449279 / 449317
Mendoza,Junta Evaluadora Lavalle (Nro. de junta 209), Lavalle (Nro. de junta 209),Área de Salud del Municipio,Lunes a Viernes de 08 a 12,tel: 494-1167 / 494-1617
Mendoza,Junta Evaluadora Guaymallen (Nro. de junta 204), Guaymallen (Nro. de junta 204),Mitre y Godoy Cruz,Lunes a Viernes de 08 a 12,tel: 445-3566 int 110
Mendoza,Junta Evaluadora Maipú (Nro. de junta 202), Maipú (Nro. de junta 202),Barcala 155 entre Pezcara y Gral Gutiérrez,"Lunes, Martes, Jueves y Viernes de 8 a 12",tel: 497-4285
Mendoza,Junta Evaluadora Junín (Nro. de junta 210), Junín (Nro. de junta 210),Acción Socil del Municipio / San Martin Nº 15,Lunes a Viernes de 08 a 12,tel: 02623-492680  int 141-148
Mendoza,Junta Evaluadora Santa Rosa (Nro. de junta 211), Santa Rosa (Nro. de junta 211),Julio A. Roca y Libertad,Lunes a Viernes de 08 a 12,
Mendoza,Junta Evaluadora Rivadavia (Nro. de junta 212), Rivadavia (Nro. de junta 212),Área Social del Municipio  tel: 02623-444544 int 223,,tel: 02623-444544 int 223
Mendoza,Junta Evaluadora Las Heras  (Nro. de junta 232), Las Heras  (Nro. de junta 232),San Miguel 1457,Lunes a Viernes de 08 a 12,tel: 437-8126 / 430-4000 int267
Mendoza,Junta Evaluadora La Paz (Nro. de junta 294), La Paz (Nro. de junta 294),"25 de mayo esquina Bandera de los Andes, La Paz",,
Mendoza,Junta Evaluadora Municipalidad de Godoy Cruz (Nro. de junta ), Municipalidad de Godoy Cruz (Nro. de junta ),,,Tel. 0361 4283680
Mendoza,Junta Evaluadora Municipalidad de Mendoza  (Capital), Municipalidad de Mendoza  (Capital),"09 de julio y Moscón - CIC Nº 1, Mendoza Capital",,
Santa Fe,Junta Central Evaluadora de Personas,,"Boulevard Zaballa 3361, Coronel Dorrego",,Tel. 4572475/76/77 int. 115/116
Misiones,Junta Evaluadora de El Dorado, de El Dorado,"Servicio de Rehab. SAMIC 
Dr. Prieto S/N - El Dorado -",,Tel. (03751) 421536 int. 191
Misiones,Junta Evaluadora de Personas- 3 Guaraní, de Personas- 3 - Guaraní,H. San Vicente. Acc. Social Intendencia. Tupac Amaru s/n,,
Misiones,Junta Evaluadora de Personas- 4 - Alem, de Personas- 4 - Alem,LN. Alem - H. Alem. Rivadavia 710,,
Misione,Junta Evaluadora de Personas- 5 - Oberá, de Personas- 5 - Oberá,CIC. Calle Salto 2 hermanas. Villa Schuster,,
Misiones,Junta Evaluadora de Personas- 6 - San Pedro, de Personas- 6 - San Pedro,H. San Pedro. Corrientes y Argentina,,
Misione,Junta Evaluadora de Personas- 7 - Capital, de Personas- 7 - Capital,"H. Madariaga. Lopez Torres 1177
H. Carrillo. Ruta 12 Itaimbe Mini
H. Pedriático. Mariano Moreno y Lopez Torres
IMFiR Instituto Rehabilitación Municipal.
Blas Prera Bº Yacyreta",,
Misiones,Junta Evaluadora de Personas- 8 - Apóstoles, de Personas- 8 - Apóstoles,Acción Social Intendencia. Expoyerba,,
Misione,Junta Evaluadora de Personas- 9 - Cainguas, de Personas- 9 - Cainguas,CIC A del Valle. Paraguay y Dr. Errecaborde,,
Misiones,Junta Evaluadora de Personas- 10 - San Javier, de Personas- 10 - San Javier,H. San Javier. La Saga 121,,
La Rioja,Junta  Central Evaluadora de Discapacidad San Vicente,Junta  Central Evaluadora de Discapacidad - San Vicente,"Zona Sanitaria I.- CPS. San Vicente 
Oyola y Pamplona B° San Vicente - La Rioja Capital",Martes 14:00 a 18:00 Hs,(0380) 4424210
La Rioja,Junta  Central Evaluadora de Personas (San Vicente),Junta  Central Evaluadora de Personas - San Vicente,Oyola yPamplona B° San Vicente,Martes 14:00 a 18:00 Hs,(03822) 424210
Entre Ríos,Junta Central Evaluadora de Personas Paraná,Junta Central Evaluadora de Personas -Paraná,Gregoria Matorras de San Martín Nº 861 y Azcuenaga - Paraná,Lu a Vi: 07.00 a 13 hs,0343 - 4236473 / 4208280
Tierra del fuego,Junta Evaluadora para la Discapacidad, para la Discapacidad,Onachaga Nº 146 - Ciudad de Ushuaia,"Lunes, Mierc. Y Viernes 10 a 14hs
Atención Juntas: Martes de 8 a 16 hrs.",02901-437431
"Tierra 
del
Fuego",Junta Evaluadora para la Discapacidad, para la Discapacidad,Belgrano Nº350 - Ciudad de Río Grande,"AT. Publico: Lunes, Mierc. y Viernes 10 a 14hs.",02964-422086 Int 154
"Santa 
Cruz",Junta Central Evaluadora de Personas - Rio Gallegos,Junta Central Evaluadora de Personas - Rio Gallegos,Hospital Regional Rio Gallegos - José Ingenieros 98,,Tel. 02966-425411 int. 2364
San Luis,Junta Central Provincial San Luis,Junta Central Provincial -San Luis,Centro Provincial de Rehabilitación - Ciudad de Rosario y Pasteur,"Lunes: mentales, Martes: Sensoriales,
Jueves: Viscerales, Viernes: Motores de 8 a 10.30 hrs.",0266 4431079
Entre rios,Junta Central Evaluadora de Personas -  Viedma,Junta Central Evaluadora de Personas -  Viedma,Area Central C.P.P.D. Viedma - Laprida 226 PB.,Lunes a viernes  de 07:00 a 14:00 hs.,(02920) 42 1833
Neuquén,Junta Central Evaluadora de Personas,,"ELORDI Nº 942, Cnel Rosales",Lunes a viernes de 8 a 13 hs.,TEL:0299-4436049/4436151
La Pampa,Junta Central Evaluadora de Personas Santa Rosa,Junta Central Evaluadora de Personas-Santa Rosa,Av Roca 851,Mar y Juev 8 a 12 hs,02954 453953
Chubut,Junta Central Evaluadora de Personas - Esquel,Junta Central Evaluadora de Personas - Esquel,Sarmiento 461,Lunes a viernes de 8:00 a 14:00hs,Tel:02945-455490-456627
